1.34456,0.48808
1.65099,0.03145
1.61610,0.56562
0.59524,0.04670
1.98125,0.00683
1.53959,0.74677
0.75488,0.49415
1.85790,0.39545
1.94791,0.52441
0.18723,0.81331
0.42337,0.55435
0.58454,0.81614
1.65609,0.22158
1.28967,0.09518
0.82333,0.09687
0.28802,0.21220
0.95331,0.07761
0.47009,0.00655
1.79729,0.55223
0.33509,0.92888
1.08418,0.04176
1.04975,0.64014
1.60132,0.83492
0.50526,0.96827
0.93248,0.26409
1.09876,0.37733
0.40746,0.91546
1.87835,0.83749
0.86558,0.71611
1.70269,0.07905
0.81992,0.64157
1.95290,0.70529
1.27324,0.20539
0.58613,0.16001
0.60787,0.71851
1.91596,0.01578
0.62519,0.04891
1.74954,0.69376
1.65312,0.91835
0.30624,0.47003
1.09254,0.51625
1.44084,0.82253
0.47053,0.10554
1.22776,0.24366
1.65389,0.46553
1.38206,0.35480
0.20693,0.29888
0.32642,0.23282
1.08883,0.35491
1.48929,0.64816
1.54008,0.79033
1.05317,0.25629
1.99073,0.10662
0.82988,0.15462
1.01416,0.80688
0.94953,0.43414
0.66341,0.07675
1.44845,0.75135
1.23008,0.90218
0.26627,0.20066
1.69647,0.66112
1.03287,0.77258
1.55285,0.55486
1.37906,0.24914
1.40673,0.39946
1.23582,0.60079
1.22149,0.70309
0.15378,0.21186
0.59690,0.96607
1.31523,0.17408
1.36352,0.84106
1.80011,0.20797
1.89511,0.23176
0.30755,0.63077
0.07314,0.79589
0.28561,0.08649
1.63796,0.96327
1.52204,0.81946
1.87377,0.41384
0.63780,0.70728
1.25572,0.68502
1.42626,0.71501
0.44401,0.08320
1.00080,0.94010
1.46894,0.16447
0.13301,0.58306
1.16658,0.67436
0.48469,0.44912
1.39807,0.15860
0.37457,0.43883
0.50098,0.91950
0.37980,0.39971
1.63494,0.03840
1.33623,0.01404
1.85633,0.11420
0.30375,0.60863
1.69451,0.43637
0.93077,0.83632
1.01929,0.46067
0.58727,0.36242
